Document type;Document description
usa.drvlic.ca.type4;USA Driving License - California (a vertical card, flowers, a man and sailing ships on the background, front side)
usa.drvlic.co.type1;USA Driving License - Colorado (a horizontal card, a star in the top-right corner and curves on the bottom, front side)
usa.drvlic.co.type2;USA Driving License - Colorado (a horizontal card, DL sign and a star in a circle are near the state name, front side)
usa.drvlic.co.type3;USA Driving License - Colorado (a vertical card, DL sign and a star in a circle are under the state name, front side)
usa.drvlic.co.type4;USA Driving License - Colorado (a vertical card, a star in the top-right corner, front side)
usa.drvlic.ct.type1;USA Driving License - Connecticut (a horizontal card, letters DL on the top, front side)
usa.drvlic.ct.type2;USA Driving License - Connecticut (a vertical card, letters ALP in the top-left corner, front side)
usa.drvlic.ct.type3;USA Driving License - Connecticut (a horizontal card, the document's name near the state name and a helicopter on the top, front side)
usa.drvlic.ct.type4;USA Driving License - Connecticut (a vertical card, the document's name under the state name and a helicopter in the middle, front side)
usa.drvlic.ct.type5;USA Driving License - Connecticut (a horizontal card, a lighthouse on the left on the background and letters DL in the top-right corner, front side)
usa.drvlic.dc.type1;USA Driving License - Columbia (heart in the top-left corner and flag of Washington in the down-right corner, front)
usa.drvlic.dc.type2;USA Driving License - Columbia (stamp with emblem of district of Columbia on the right, front)
usa.drvlic.dc.type3;USA Driving License - Washington, DC (a star in the top- right corner, front)
usa.drvlic.de.type1;USA Driving License - Delaware (blue rectangle on the top and star in the top-tight corner, front)
usa.drvlic.de.type2;USA Driving License - Delaware (blue rectangle on the top and star in the top-tight corner, front)
usa.drvlic.de.type3;USA Driving License - Delaware (blue rectangle on the top and star in the top-tight corner, front)
usa.drvlic.fl.type1;USA Driving License - Florida (stamp with emblem of Florida on the left, front)
usa.drvlic.fl.type2;USA Driving License - Florida (star in the circle in the top-right corner, front)
usa.drvlic.fl.type3;USA Driving License - Florida (star in the circle in the top-right corner, front)
usa.drvlic.fl.type4;USA Driving License - Florida (star in the circle in the top-right corner, front)
usa.drvlic.ga.type1;USA Driving License - Georgia (copies of a personal photo in the bottom-right corner and a peach on the background, front)
usa.drvlic.ga.type2;USA Driving License - Georgia (vertically oriented, front)
usa.drvlic.ga.type3;USA Driving License - Georgia (a round stamp in the top-left corner of photo and three peaches on the top, front)
usa.drvlic.ga.type4;USA Driving License - Georgia (round stamp in the upper right corner of the photo and one peach in the lower left corner, front)
usa.drvlic.ga.type5;USA Driving License - Georgia (peach in the background in the lower right corner, front side)
usa.drvlic.hi.type1;USA Driving License - Hawaii (a barcode under the photo, front)
usa.drvlic.hi.type2;USA Driving License - Hawaii (the flag of state in the top- right corner, front)
usa.drvlic.ia.type1;USA Driving License - Iowa (windmill on the background, front)
usa.drvlic.ia.type2;USA Driving License - Hawaii (windmill on the backgroun - vertical card, front)
usa.drvlic.ia.type3;USA Driving License - Hawaii (coat of arms of Iowa on the background, front)
usa.drvlic.ia.type4;USA Driving License - Iowa (windmill on the background, front)
usa.drvlic.id.type1;USA Driving License - Idaho (the seal of Idaho in the top- right corner of the personal photo, front side)
usa.drvlic.id.type2;USA Driving License - Idaho (mountains on the background and copy of a personal photo in the bottom-right corner, front side)
usa.drvlic.id.type3;USA Driving License - Idaho (mountains on the background and mark in the bottom-right corner, front side)
usa.drvlic.id.type4;USA Driving License - Idaho ()
usa.drvlic.id.type5;USA Driving License - Idaho ()
usa.drvlic.il.type1;USA Driving License - Illinois (Abraham Lincoln on the background, front side)
usa.drvlic.il.type2;USA Driving License - Illinois (the curves on the background, front side)
usa.drvlic.il.type3;USA Driving License - Illinois (a personal photo on the right, front side)
usa.drvlic.il.type4;USA Driving License - Illinois (a vertical card, the curves on the background, front side)
usa.drvlic.il.type5;USA Driving License - Illinois (a vertical card, the curves on the background, front side)
usa.drvlic.in.type1;USA Driving License - Indiana (a horizontal card, a small personal photo in the bottom-right corner, front side)
usa.drvlic.in.type2;USA Driving License - Indiana (a vertical card, a small personal photo on the right, front side)
usa.drvlic.in.type3;USA Driving License - Indiana (a horizontal card, the seal of Indiana in the top-left corner, front side)
usa.drvlic.in.type4;USA Driving License - Indiana (a horizontal card, a small personal photo in the bottom-right corner, front side)
usa.drvlic.in.type5;USA Driving License - Indiana (a vertical card, a small personal photo in the bottom-right corner, torch in upper- right connor, front side)
usa.drvlic.ks.type1;USA Driving License - Kansas (ears of corn on the background, horizontal card, front)
usa.drvlic.ks.type2;USA Driving License - Kansas (ears of corn on the background, vertical card, front)
usa.drvlic.ks.type3;USA Driving License - Kansas (tractor and wagon on the background and star in the top-right corner, horizontal card, front)
usa.drvlic.ks.type4;USA Driving License - Kansas (tractor and wagon on the background and star in the top-right corner, vertical card, front)
usa.drvlic.ks.type5;USA Driving License - Kansas (patterns on the bottom and DL sign in the top-right corner, front)
usa.drvlic.ky.type1;USA Driving License - Kentucky (horizontal card, fence on the background, front)
usa.drvlic.ky.type2;USA Instruction Permit - Kentucky (vertical card, fence on the background, front)
usa.drvlic.ky.type3;USA Driving Licence - Kentucky (vertical card, KY letters on the background, front)
usa.drvlic.ky.type4;USA Driving License - Kentucky (horizontal card, leaves on the background, front)
usa.drvlic.la.type1;USA Driving License - Louisiana (horizontal card, emblem of Louisisan in the top-right corner on the background, front)
usa.drvlic.la.type2;USA Driving License - Louisiana (vertical card, emblem of Louisian in the down-right corner on the background, front)
usa.drvlic.la.type3;USA Driving License - Louisiana (horizontal card, photo on the right, front)
usa.drvlic.la.type4;USA Driving License - Louisiana (vertical card, front)
usa.drvlic.ma.type1;USA Driving License - Massachusetts (a stamp with a bird in the centre, front)
usa.drvlic.ma.type2;USA Driving License - Massachusetts (a personal photo on the left and a round stamp in the top-left corner of the photo, front)
usa.drvlic.ma.type3;USA Driving License - Massachusetts (a personal photo on the right and the contour of state on the background, front)
usa.drvlic.ma.type4;USA Driving License - Massachusetts (vertical card, front)
usa.drvlic.ma.type5;USA Driving License - Massachusetts (vertical card, front)
usa.drvlic.md.type1;USA Driving License - Maryland (the flag of the state in the top-left corner and a star on the top, front)
usa.drvlic.md.type2;USA Driving License - Maryland (a crab in the top right corner and a coat of arms of the state on the background, front)
usa.drvlic.md.type3;USA Driving License - Maryland (vertical card, the flag of the state in the top-left corner and a star on the top, front)
usa.drvlic.md.type4;USA Driving License - Maryland (vertical card, the flag of the state in the top-left corner and a star on the top, front)
usa.drvlic.me.type1;USA Driving License - Maine (a moose on the background, front)
usa.drvlic.me.type2;USA Driving License - Maine (a moose on the background, front)
usa.drvlic.me.type3;USA Driving License - Maine (sunset view on the top, front)
usa.drvlic.mi.type1;USA Driving License - Michigan (bridge on the top, horizontal card, front)
usa.drvlic.mi.type2;USA Driving License - Michigan (bridge on the top, vertical card, front)
usa.drvlic.mi.type3;USA Operator License - Michigan (bridge on the top, horizontal card, front)
usa.drvlic.mn.type1;USA Driving License - Minnesota (emblem of Minnesota on the background, front)
usa.drvlic.mn.type2;USA Driving License - Minnesota (a small personal photo in the bottom-right corner, front)
usa.drvlic.mn.type3;USA Driving License - Minnesota (a small personal photo in the bottom-right corner, front)
usa.drvlic.mo.type1;USA Driving License - Missouri (emblem of Missouri on the background, front)
usa.drvlic.mo.type2;USA Driving License - Missouri (building on the background, front)
usa.drvlic.mo.type3;USA Driving License - Missouri (emblem of Missouri on the background,vertical orientation)
usa.drvlic.ms.type1;USA Driving License - Mississippi (DL sign on the top, front)
usa.drvlic.ms.type2;USA Driving License - Mississippi (building on the background, front)
usa.drvlic.ms.type3;USA Driving License - Mississippi (building on the background, front)
usa.drvlic.ms.type4;USA Identification card - Mississippi (building on the background and star in the upper right corner, front)
usa.drvlic.mt.type1;USA Driving License - Montana (DL sign on the top and emblem of Montana on the background, front)
usa.drvlic.mt.type2;USA Driving License - Montana (mountains and stars on the background, front)
usa.drvlic.nc.type1;USA Driving License - (lighthouse on the bottom on the background, front)
usa.drvlic.nc.type2;USA Driving License - (building on the middle on the background, front)
usa.drvlic.nc.type3;USA Driving License - ( a vertical card, building on the middle on the background, front)
usa.drvlic.nc.type4;USA Driving License - ( a vertical card, building on the middle on the background, front)
usa.drvlic.nd.type1;USA Driving License - North Dakota (a horizontal card, letters DL in the top-right corner, front side)
usa.drvlic.nd.type2;USA Driving License - North Dakota (a horizontal card, horses on the background, front side)
usa.drvlic.ne.type1;USA Driving License - Nebraska (a horizontal card, the great seal of Nebraska in the top-left corner, front side)
usa.drvlic.ne.type2;USA Driving License - Nebraska (a vertical card, a star in the circle in the top-right corner, front side)
usa.drvlic.nh.type1;USA Driving License - New Hampshire (a horizontal card, the contour of New Hampshire in the top-right corner, front side)
usa.drvlic.nh.type2;USA Driving License - New Hampshire (a horizontal card, a small personal photo in the middle on the background, front side)
usa.drvlic.nh.type3;USA Driving License - New Hampshire (a horizontal card, the circle of New Hampshire in the upper-left corner, front side)
usa.drvlic.nh.type4;USA Driving License - New Hampshire (vertical card, New Hampshire inscription at the top of the card, front side)
usa.drvlic.nj.type1;USA Driving License - New Jersey (a horizontal card, a small personal photo in the bottom-right corner on the background, front side)
usa.drvlic.nj.type2;USA Driving License - New Jersey (a vertical card, a small personal photo in the middle on the right, front side)
usa.drvlic.nm.type1;USA Driving License - New Mexico (a horizontal card, flag of New Mexico in the top-left corner, front side)
usa.drvlic.nm.type2;USA Driving License - New Mexico (a vertical card, flag of New Mexico in the top-left corner, front side)
usa.drvlic.nv.type1;USA Driving License - Nevada (a horizontal card, an eagle in the bottom-right corner, front side)
usa.drvlic.nv.type2;USA Driving License - Nevada (a vertical card, an eagle in the bottom-right corner, front side)
usa.drvlic.nv.type3;USA Driving License - Nevada (a horizontal card, the great seal of Nevada in the top-left corner of personal photo on the right, front side)
usa.drvlic.ny.type1;USA Driving License - New York (a horizontal card, emblem of New York on the right and statue of Liberty on the left on the background, front)
usa.drvlic.ny.type2;USA Driving License - New York (statue of Liberty on the right on the background, front)
usa.drvlic.ny.type3;USA Driving License - New York ( emblem of New York on the middle on the backgrount and landscape on the top, front)
usa.drvlic.ny.type4;USA Driving License - New York (a vertical card, emblem of New York on the bottom and statue of Liberty in the top-left corner on the background, front)
usa.drvlic.ny.type5;USA Driving License - New York (a horizontal card,a small personal photo in the bottom-right corner, front)
usa.drvlic.oh.type1;USA Driving License - Ohio (horizontal card, flag of Ohio in the down-left corner, front)
usa.drvlic.oh.type2;USA Driving License - Ohio (vertical card, flag of Ohio on the bottom, front)
usa.drvlic.oh.type3;USA Driving License - Ohio (horizontal card, emblem of Ohio on the background and star in the top-right corner, front)
usa.drvlic.oh.type4;USA Driving License - Ohio (vertical card, emblem of Ohio on the background and star in the top-right corner, front)
usa.drvlic.ok.type1;USA Driving License - Oklahoma (horizontal card, photo on the left and right, front)
usa.drvlic.ok.type2;USA Driving License - Oklahoma (vertical card, photo on the left and right, front)
usa.drvlic.ok.type3;USA Driving License - Oklahoma (horizontal card, photo on the right and middle, front)
usa.drvlic.or.type1;USA Driving License - Oregon (a horizontal card, the seal of Oregon in the top-right corner of the personal photo, front side)
usa.drvlic.or.type2;USA Driving License - Oregon (a horizontal card, the seal of Oregon in the top-left corner of the personal photo, front side)
usa.drvlic.or.type3;USA Driving License - Oregon (a horizontal card, the seal of Oregon in the top-left corner of the personal photo, front side)
usa.drvlic.or.type4;USA Driving License - Oregon (a horizontal card, the building on the background, front side)
usa.drvlic.pa.type1;USA Driving License - Pennsylvania (a horizontal card, the state's name is written vertically on the left, front side)
usa.drvlic.pa.type2;USA Driving License - Pennsylvania (a vertical card, letters JR in the bottom-right corner and a personal photo in the bottom-left corner, front side)
usa.drvlic.pa.type3;USA Driving License - Pennsylvania (a vertical card, a small personal photo with letters DL in the bottom-right corner, front side)
usa.drvlic.pa.type4;USA Driving License - Pennsylvania (a horizontal card, a small personal photo with letters CDL in the bottom-right corner, front side)
usa.drvlic.pr.type1;Puerto-Rico ID card (emblem of Puerto_Rico in center of card), front
usa.drvlic.pr.type2;Puerto-Rico Driver Licence (emblem of Puerto_Rico in center of card on the bachground, front)
usa.drvlic.ri.type1;USA Driving License - Rhode Island (a horizontal card, letters DL in the bottom-right corner, front side)
usa.drvlic.ri.type2;USA Driving License - Rhode Island (a horizontal card, a bridge on the background and a small personal photo in the top-right corner, front side)
usa.drvlic.sc.type1;USA Driving License - South Carolina (emblem of South Carolina on the background, front)
usa.drvlic.sc.type2;USA Driving License - South Carolina (flag of South Carolina on the background, front)
usa.drvlic.sc.type3;USA Driving License - South Carolina (a vertical card, a palm on the background, front)
usa.drvlic.sc.type4;USA Driving License - South Carolina (a horizontal card, a palm on the background,front)
usa.drvlic.sc.type5;USA Driving License - South Carolina (a horizontal card, South Carolina State House on the backgroung, front)
usa.drvlic.sc.type6;USA Driving License - South Carolina (a vertical card, South Carolina State House on the backgroung, front)
usa.drvlic.sd.type1;USA Driving License - South Dakota (Rushmore on the background, front)
usa.drvlic.sd.type2;USA Driving License - South Dakota (emblem of South Dakota on the background, front)
usa.drvlic.tn.type1;USA Driving License - Tennessee (a horizontal card, The Tennessee State Capitol on the background, front)
usa.drvlic.tn.type2;USA Driving License - Tennessee (a vertical card, The Tennessee State Capitol on the background, front)
usa.drvlic.tn.type3;USA Driving License - Tennessee (flag of Tennesseein the top-right corner, front)
usa.drvlic.tx.type1;USA Driving License - Texas (a horizontal card, United States Capitol on the background, front side)
usa.drvlic.tx.type2;USA Driving License - Texas (a vertical card, United States Capitol on the background, front side)
usa.drvlic.tx.type3;USA Driving License - Texas (a horizontal card, the seal of Texas in the top-right corner and flag of Texas in the top- left corner, front side)
usa.drvlic.tx.type4;USA Driving License - Texas (a horizontal card, the seal of Texas in the top-right corner and flag of Texas in the top- left corner, front side)
usa.drvlic.tx.type5;USA Driving License - Texas (a horizontal card, the seal of Texas in the top-right corner and flag of Texas in the top- left corner, front side)
usa.drvlic.tx.type6;USA Driving License - Texas (a vertical card, the seal of Texas in the top-right corner and flag of Texas in the top- left corner, front side)
usa.drvlic.ut.type1;USA Driving License - Utah (a horizontal card, United States Capitol on the background, front side)
usa.drvlic.ut.type2;USA Driving License - Utah (a horizontal card, the great seal of Utah on the background, front side)
usa.drvlic.ut.type3;USA Driving License - Utah (a vertical card, United States Capitol on the background, front side)
usa.drvlic.ut.type4;USA Driving License - Utah (a vertical card, United States Capitol on the background, front side)
usa.drvlic.va.type1;USA Driving License - Virginia (a horizontal card, a new sample with the seal of Virginia in the middle on the background, front side)
usa.drvlic.va.type2;USA Driving License - Virginia (a horizontal card, a star in the circle in the top-right corner and a small personal photo on the right, front side)
usa.drvlic.va.type3;USA Driving License - Virginia (a vertical card, the seal of Virginia in the middle on the background, front side)
usa.drvlic.va.type4;USA Driving License - Virginia (a horizontal card, an old sample with the seal of Virginia in the middle on the background, front side)
usa.drvlic.va.type5;USA Driving License - Virginia (a vertical card, flowers on the background, front side)
usa.drvlic.vi.type1;USA Driving License - Virginia Island (emblem of Virginia Island on the background)
usa.drvlic.vt.type1;USA Operator's License - Vermont (flag of USA on the left and name of stat on the left, front)
usa.drvlic.vt.type2;USA Operator's License - Vermont (name of stat on the top- middle, front)
usa.drvlic.vt.type3;USA Operator's License - Vermont (flag of USA on the left and name of stat on the left, front)
usa.drvlic.wa.type1;USA Driving License - Washington (George Washington in the top-left corner, front)
usa.drvlic.wa.type2;USA Driving License - Washington (a tree on the down-middle, front)
usa.drvlic.wa.type3;USA Driving License - Washington (a national flag on the right side of a personal photo, front)
usa.drvlic.wa.type4;USA Driving License - Washington (a national flag on the right side of a personal photo, front)
usa.drvlic.wa.type5;USA Driving License - Washington (a national flag on the right side of a personal photo, front)
usa.drvlic.wi.type1;USA Driving License - Wisconsin (house on the top and emblem of Wisconin on the background, front)
usa.drvlic.wi.type2;USA Driving License - Wisconsin (building on the background, front)
usa.drvlic.wi.type3;USA Driving License - Wisconsin (flag of USA in the top-left corner, front)
usa.drvlic.wi.type4;USA Driving License - Wisconsin (flag of USA in the top-left corner, front)
usa.drvlic.wi.type5;USA Driving License - Wisconsin (star in circle in the top- right corner, front)
usa.drvlic.wi.type6;USA Driving License - Wisconsin (star in circle in the top- right corner, front)
usa.drvlic.wv.type1;USA Driving License - West Virginia (a coat of arms of a state in the top-left corner and the contour of state in the top-right corner, front)
usa.drvlic.wv.type2;Driver License of West Virginia (borders of state in up_right connor), front
usa.drvlic.wy.type1;USA Driving License - Wyoming (a coat of arms of a state in the top-left corner and mountains on the background, front)
usa.drvlic.wy.type2;USA Driving License - Wyoming (a mountain on the background on the top, front)
usa.medcard.aetna.type1;USA Aetna Medcard
usa.medcard.aetna.type2;USA Aetna Medcard
usa.medcard.anthem.type1;USA Anthem Medcard (emlem of the california's valued trust in the top-left corner)
usa.medcard.beechstreet.type1;
usa.medcard.bluecross.type1;USA Bluecross Medcard
usa.medcard.bluecross.type2;USA Bluecross Medcard (emblem of the Vermont health connect in the top-corner)
usa.medcard.carefirst.type1;USA CareFirst Medcard (CareFirst BlueChoice on the top left)
usa.medcard.cigna.type1;USA Cigna Medcard (Cigna's logo on the background)
usa.medcard.delta.type1;
usa.medcard.exc.type1;USA Exclusive Care Medcard (Exclusive Care's logo in the top-left corner)
usa.medcard.flblue.type1;USA Florida Blue Medcard (Florida Blue's logo in the top- left corner)
usa.medcard.flblue.type2;USA Florida Blue Medcard (Florida Blue's logo in the top- left corner)
usa.medcard.geha.type1;
usa.medcard.geoblue.type1;
usa.medcard.horizon.type1;
usa.medcard.humana.type1;USA Humana Medcard (Humana's logo in the top-left corner)
usa.medcard.medicare.type1;USA Medicare Medcard
usa.medcard.medicare.type2;USA Medicare Medcard
usa.medcard.pc.type1;
usa.medcard.uhc.type1;USA UnitedHealthcare Medcard (UnitedHealthcare's logo in the top-left corner)
usa.passport.type1;American Passport (only for children, main page)
usa.passport.type2;American Passport (a national flag and coat of arms on the background, main page)
usa.passport.type3;American Passport (only for children, main page)
usa.passport_card.type1;USA Passport Card (Blue background with pink and dark blue honeycombs, front side)
usa.passport_card.type2;USA Passport Card (Flag, coat of arms and mountain in the background, front side)
usa.residence.type1;USA Residence (The building with columns and the Statue of Liberty on the background, front side)
usa.ssn82;USA Social Security Number (emblem of the Social Security Ministrationa on the background)
usa.visa.type1;USA Visa (Lincoln Memorial, Washington State Capitol on the background, main page)
usa.vrc.al.type1;Alabama Vehicle Registration
usa.vrc.az.type1;Arizona Vehicle Registration
usa.vrc.ca.type1;California Vehicle Registration
usa.vrc.co.type1;Colorado Vehicle Registration
usa.vrc.fl.type1;Florida Vehicle Registration
usa.vrc.ga.type1;Georgia Vehicle Registration
usa.vrc.il.type1;Illinois Vehicle Registration
usa.vrc.in.type1;Indiana Vehicle Registration
usa.vrc.la.type1;Louisiana Vehicle Registration
usa.vrc.mo.type1;New Motor Vehicle Registration (A4 blank with horizontal division by sections, front)
usa.vrc.nc.type1;State of North Carolina Registration Card
usa.vrc.nj.type1;New Jersey Vehicle Registration
usa.vrc.oh.type1;Ohio Vehicle Registration (emblem of Ohio in left upper connor of page)
usa.vrc.pa.type1;Commonwealth of Pennsylvania Registration Credential
usa.vrc.sc.type1;South Caroline Vehicle Registration (almost squared blank)
usa.vrc.tn.type1;Vehicle Registration
usa.vrc.tx.type1;Texas Vehicle Registration
usa.vrc.va.type1;Florida Vehicle Registration
usa.vrc.wa.type1;Washington Vehicle Registration
usa.vrc.wi.type1;Wiskonsin Vehicle Registration
uzb.drvlic.type1;Uzbek Driving License (UZ sign on the right on the background, front side)
uzb.drvlic.type2;UZB driving license (flag at the left top corner and the sign at the right down corner, hand with a voting sheet in the lower left corner, front side)
uzb.drvlic.type3;UZB driving license (vertical card, blue and pink on the background, front side)
uzb.passport.type1;Uzbek Passport (UZB sign on the right, main page)
uzb.passport.type2;Uzbek Passport (the coat of arms of Uzbekistan on the background, main page)
uzb.visa.type1;Uzbek Visa (the coat of arms of Uzbekistan in the top-left corner and stamps of moon with a star on the background)
uzb.vrc.type1;Uzbek Vehicle Registration Certificate (UZ sign in the bottom-left corner and a national flag in the top-left corner, front side)
vat.passport.type1;Passport of Vatican City State (biometric symbol in the top- left corner, main page)
vat.passport.type2;Passport of Vatican City State (a copy of personal photo on the right, main page)
vct.drvlic.type1;Driving License of Saint Vincent and the Grenadines(the national flag in the top-left corner and a personal photo on the left, front side)
vct.id.type1;ID Card of Saint Vincent and the Grenadines (the national flag in the top-left corner, front side)
vct.passport.type1;Passport of Saint Vincent and the Grenadines (fishes on the background and barcode above the mrz zone, main page)
ven.id.type1;ID Card ()
ven.passport.type1;Passport of Venezuela (stars on the background, main page)
vgb.passport.type1;Passport of the British Virgin Islands (crowns on the top and on the bottom of personal photo, main page)
vgb.passport.type2;Passport of the British Virgin Islands (laser cut patterns on the top and on the bottom of a personal photo, main page)
vnm.drvlic.type1;Vietnamese Driving License (a circle watermark on the bottom of personal photo , front side)
vnm.id.type1;Vietnamese ID Card (a coat of arms in the top-left corner, front side)
vnm.id.type2;Vietnamese ID Card (a coat of arms in the top-left corner, front side)
vnm.passport.type1;Vietnamese Passport (a dove on the right, main page)
vut.passport.type1;Passport of Vanuatu (emblem of Vanuatu on the background, main page)
wsm.passport.type1;Passport of Samoa (old type, main page)
wsm.passport.type2;Passport of Samoa (old type, information zone highlighted by corners, main page)
xom.passport.type1;Passport of Sovereign Military Order of Malta (coat of arms next to the photo of the owner, main page)
xpo.id.type1;ID Card of Interpol (emblem of Interpol in the top-right corner, front)
xpo.id.type2;ID Card of Interpol (additional photo in right area, front)
yem.passport.type1;Passport of Yemen (two copies of the personal photo on the document and a barcode above the full mrz zone, main page)
zaf.id.type1;ID Card of South Africa (the national flag in the top-left corner and a round stamp in the bottom-left corner of photo, main page)
zaf.passport.type1;Passport of South Africa (a copy of personal photo in the centre, main page)
zaf.passport.type2;Passport of South Africa (a barcode in the top-right corner, main page)
zaf.pilotlic.type1;Pilot's Licence License of South Africa (biometric symbol in the top-right corner, main page)
zmb.passport.type1;Passport of Zambia (a copy of personal photo in the centre and the national coat of arms in the top-right corner of photo, main page)
zwe.passport.type1;Passport of Zimbabwe (a fingerprint in the bottom-right corner, main page)
